sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15
38.75,48.46,50.06,34.16,36.07,19.04,38.93,35.56,34.99,38.28,34.93,191.29,191.52,177.85,130.78
17.58,23.07,23.26,21.66,21.97,38.2,30.7,22.26,24.15,28.58,180.62,90.25,143.7,118.48,88.8
50.63,58.69,54.32,55.55,46.4,15.29,33.97,27.66,21.07,14.29,170.55,190.23,2.14,136.44,85.86
10.54,10.72,8.37,9.8,7.98,34.35,58.93,60.39,31.61,53.7,46.3,98.52,109.04,151.7,0.65
58.39,56.34,49.94,47.29,60.96,28.3,20.82,30.06,15.71,12.32,112.01,93.29,106.38,93.25,57.58
74.14,85.75,74.24,96.36,83.52,9.17,7.3,9.98,7.25,10.89,128.94,135.99,30.05,185.28,108.85
73.64,59.91,67.94,58.27,64.76,19.89,18.53,11.74,10.62,10.02,125.09,5.64,73.14,87.35,57.3
50.88,48.46,48.35,41.81,51.75,19.38,18.43,25.94,18.79,26.14,124.35,144.14,158.26,129.47,191.78
74.44,67.87,82.78,80.2,90.14,6.64,5.56,6.56,11.25,8.47,81.38,180.87,27.51,4.61,1.74
35.06,41.77,30.96,42.25,36.26,36.42,36.24,35.21,42.42,46.43,83.21,5.68,146.0,92.98,132.85
20.36,20.19,17.4,17.95,14.03,29.07,30.81,30.29,60.43,21.1,130.03,52.02,184.21,159.26,28.28
116.31,92.96,82.42,110.93,94.97,0.9,1.63,0.86,1.64,0.94,165.39,0.52,38.6,77.22,152.21
47.56,56.59,54.52,53.23,40.4,20.07,33.56,25.51,30.43,26.65,143.95,3.63,24.38,145.08,149.71
23.64,20.87,20.72,21.44,19.14,28.64,20.88,51.37,29.2,46.48,151.85,170.15,24.54,89.41,33.32
35.87,43.5,46.01,38.57,40.48,40.11,36.16,16.62,35.17,18.66,173.2,167.34,78.25,46.17,93.59
7.99,6.54,6.47,7.18,6.96,48.21,50.45,34.5,63.36,39.45,13.31,179.04,132.39,2.14,156.3
42.28,36.62,30.27,30.37,32.64,36.22,44.18,27.54,21.12,45.55,99.0,64.85,56.76,180.77,130.99
61.46,75.57,74.85,68.31,82.04,8.89,21.39,21.41,22.0,12.11,165.97,192.11,86.67,134.5,83.93
45.54,47.57,58.03,57.41,55.22,17.83,29.08,25.61,13.58,18.51,38.86,10.72,33.57,42.84,163.65
65.89,61.11,66.16,73.17,55.56,9.29,16.35,25.58,13.97,18.48,0.96,94.75,69.17,132.06,118.52
67.44,85.9,75.39,81.02,58.47,19.13,19.41,19.83,14.4,19.63,75.07,166.93,185.48,82.5,87.36
62.59,50.41,53.36,61.66,63.82,20.47,21.53,29.16,23.81,21.1,13.12,113.66,75.44,18.65,124.23
117.66,115.71,86.54,85.46,85.17,1.2,0.58,1.1,0.46,1.09,195.08,21.23,3.34,184.13,47.06
18.0,20.49,17.78,21.47,24.29,55.78,40.91,28.82,59.1,44.0,41.18,81.15,37.82,157.57,113.56
78.68,61.93,84.8,70.53,75.58,10.17,8.19,6.36,13.84,12.87,0.05,40.9,6.08,178.85,84.31
56.68,56.6,45.85,55.83,46.27,38.49,13.51,28.61,13.17,35.77,184.66,180.69,62.13,140.21,188.92
17.33,18.26,22.85,21.76,20.25,33.51,24.7,50.66,45.09,37.68,3.74,20.17,107.26,4.41,43.6
72.57,75.34,57.39,59.64,79.01,9.87,18.72,13.87,13.68,13.01,144.49,21.43,94.26,104.39,126.51
71.76,90.64,67.96,73.37,80.57,6.15,7.46,10.18,8.42,11.92,6.68,103.12,12.29,166.23,168.06
5.09,3.6,3.47,3.59,3.57,50.69,29.33,70.55,49.71,24.63,27.08,187.19,29.31,56.1,105.6
97.31,110.93,110.67,93.17,94.06,4.56,2.57,1.77,1.98,4.69,62.41,7.36,41.11,167.46,167.11
46.4,57.69,41.59,38.95,48.32,21.43,19.03,37.5,31.14,17.12,146.42,70.5,50.21,74.74,39.55
82.48,80.89,90.37,74.71,80.28,7.41,10.1,12.6,8.53,5.63,51.68,73.0,175.03,144.88,30.25
35.74,40.54,41.89,40.14,39.78,18.01,27.07,25.13,30.7,32.33,38.29,47.43,81.32,110.69,109.66
16.84,18.27,17.09,17.05,13.2,60.67,55.73,21.97,29.07,55.86,22.31,51.71,22.19,143.1,36.36
77.29,71.29,58.54,66.96,83.64,11.35,15.85,12.21,7.62,11.12,12.71,4.59,157.06,95.58,196.97
41.2,44.21,46.17,42.08,41.16,41.61,37.8,19.44,34.27,40.97,44.18,16.5,157.14,42.89,185.07
22.63,25.64,28.04,31.42,29.52,49.87,53.79,21.02,23.63,39.73,54.04,155.73,80.79,17.81,128.98
53.93,76.78,52.48,64.85,73.27,16.14,9.9,20.16,13.32,12.22,153.44,197.88,169.25,122.94,92.43
74.29,60.49,81.11,78.26,76.51,21.9,22.82,21.57,19.6,11.4,61.21,167.6,111.1,63.73,68.61
9.86,10.01,7.29,7.3,10.47,37.51,27.43,52.77,49.0,36.27,151.74,177.01,39.82,149.83,64.25
11.75,9.93,12.53,11.8,12.32,35.7,39.51,46.17,26.56,49.79,178.26,12.57,170.57,47.59,34.42
64.99,61.48,52.53,64.65,48.58,26.34,29.19,28.56,26.35,17.39,101.09,68.87,157.6,174.73,85.09
20.17,20.09,27.22,21.01,20.03,21.49,33.39,30.71,21.17,54.95,71.18,194.23,179.27,190.56,54.22
30.25,22.28,28.62,27.1,31.35,37.76,27.3,42.02,50.35,30.04,114.4,177.83,126.09,112.94,87.54
52.16,37.98,42.81,47.33,35.84,15.42,35.56,24.51,22.56,19.65,182.7,108.75,107.84,187.58,59.3
57.26,53.99,73.85,67.48,52.75,26.95,27.18,10.26,25.27,24.87,150.29,181.86,78.33,63.65,152.85
29.4,28.6,32.25,37.33,31.27,47.8,35.66,39.66,23.28,20.1,161.15,89.85,145.69,26.01,2.96
52.07,43.36,46.12,50.59,47.52,33.3,13.59,21.02,34.14,18.25,75.38,198.94,92.98,99.12,80.69
61.59,54.2,62.28,60.47,72.68,9.98,9.79,20.45,26.57,25.63,178.33,2.24,194.65,33.83,72.17
19.11,18.1,19.1,14.08,20.38,21.52,56.64,52.38,28.4,60.03,181.09,48.28,161.0,56.39,33.79
100.46,95.05,101.57,81.11,111.21,3.41,3.44,3.28,2.37,1.96,192.72,48.67,159.64,106.45,1.69
20.47,20.97,21.31,25.99,24.28,43.74,38.58,55.8,25.28,23.35,113.33,92.12,142.92,123.57,58.68
9.05,10.75,9.85,9.92,8.47,43.8,64.92,39.98,59.91,42.2,192.91,193.19,110.75,94.15,192.01
3.33,2.98,2.91,3.33,4.02,57.49,52.4,68.23,55.32,25.44,117.34,49.43,31.17,142.56,142.66
91.49,101.56,80.86,80.44,98.11,8.32,5.24,2.92,3.03,7.6,149.01,183.62,45.4,132.64,46.83
10.84,14.5,12.87,13.67,12.7,27.9,23.06,59.93,36.6,64.44,128.42,167.87,198.6,197.41,19.43
10.6,10.31,9.51,11.32,8.58,35.43,37.58,28.05,31.94,64.03,197.4,73.29,90.77,2.09,28.98
96.8,93.12,92.58,72.35,88.45,3.75,3.54,6.8,4.68,7.38,119.43,179.34,151.66,79.22,47.25
93.43,74.05,91.98,99.65,78.41,6.39,7.59,7.33,6.07,6.59,117.18,5.04,114.7,162.68,51.99
1.5,1.55,1.18,1.47,1.64,31.13,43.89,67.7,64.45,62.07,136.67,183.44,101.77,16.98,175.99
31.87,40.62,40.65,40.55,45.33,17.43,38.09,32.62,40.21,29.1,102.47,199.42,123.04,165.25,156.05
61.26,65.29,66.52,67.63,81.87,8.97,13.4,19.19,12.75,11.85,184.04,35.1,189.17,153.9,169.28
67.74,77.0,80.42,64.14,85.64,7.18,6.41,5.91,7.06,5.34,136.5,157.34,126.74,16.77,132.7
78.05,71.44,62.67,80.25,82.86,7.38,17.02,21.27,7.8,20.99,98.61,58.55,40.91,98.08,0.93
76.88,77.18,84.23,100.7,104.63,6.12,4.48,7.08,5.53,7.0,71.4,139.12,167.07,183.05,28.94
105.85,97.13,100.4,94.39,86.38,1.16,0.59,0.82,0.47,1.1,192.36,55.01,48.53,17.94,172.92
31.81,24.31,33.08,28.0,32.5,42.33,47.43,22.09,42.3,23.27,14.81,24.39,59.7,180.09,44.98
104.71,94.22,74.74,96.53,71.03,7.47,4.21,8.76,6.11,4.58,175.94,119.75,28.39,44.58,164.58
8.22,7.31,6.99,6.09,7.31,28.79,30.0,48.26,31.56,54.63,51.64,42.24,58.08,180.19,123.3
